Candidate_ID,Name,Age,Age_Range,Gender,Employment_Status_at_time_of_offer,Location,Role,Source,Applied_Date,Current_Status,Offer_Date,Promised_Joining,Join_Date,Joining_Gap,Action_Needed
JMFZNYC,William Sue Smith,39,Middle Aged,Female,Unemployed,New York,Engineer,Internal,13-05-2025,Offered,25-05-2025,15 Days,,,Follow up
YY3ANYC,Charlie Beth Martin,25,Young,Female,Employed,New York,Engineer,Referral,15-05-2025,Interviewed,,,,,Await Decision
QRX6SGP,Sophia Elizabeth Wilson,28,Young,Male,Employed,Singapore,Engineer,Campus,28-04-2025,Joined,13-05-2025,15 Days,21-05-2025,,No Action
0LZUNYC,Diana Grace Thompson,25,Young,Non-Binary,Employed,New York,Analyst,Referral,14-05-2025,Offered,02-06-2025,Immediately,,,Follow up
A57IHYD,William Mae Davis,37,Middle Aged,Female,Unemployed,Hyderabad,Analyst,Job Portal,12-05-2025,Joined,24-05-2025,15 Days,01-06-2025,,No Action
NXL7HYD,Olivia Lynn Wilson,28,Young,Female,Unemployed,Hyderabad,Designer,Referral,20-05-2025,Accepted,06-06-2025,30 Days,,,Send reminder
SNDXHYD,Olivia Lee Moore,42,Aging,Male,Employed,Hyderabad,Analyst,Job Portal,29-04-2025,Accepted,11-05-2025,30 Days,,,Send reminder
HW64LON,Heidi Mae White,27,Young,Male,Unemployed,London,Designer,Internal,11-05-2025,Interviewed,,,,,Await Decision
BSLJHYD,Olivia Victoria Robinson,29,Young,Female,Unemployed,Hyderabad,Designer,Campus,13-05-2025,Offered,01-06-2025,15 Days,,,Follow up
A2VVLON,Grace Beth Brown,27,Young,Female,Employed,London,Engineer,Campus,01-05-2025,Accepted,13-05-2025,30 Days,,,Send reminder
60NTSGP,Charlie Beth Anderson,22,Young,Non-Binary,Employed,Singapore,Manager,Referral,03-05-2025,Offered,15-05-2025,30 Days,,11,Follow up
W6ZSSGP,Olivia Dean Garcia,28,Young,Male,Employed,Singapore,Designer,Referral,10-05-2025,Offered,29-05-2025,15 Days,,,Follow up
G06RNYC,Michael Dean Smith,44,Aging,Female,Unemployed,New York,Designer,Job Portal,20-05-2025,Accepted,31-05-2025,15 Days,,,Send reminder
TOYLHYD,Frank Lee Brown,40,Middle Aged,Female,Employed,Hyderabad,Designer,Job Portal,06-05-2025,Interviewed,,,,,Await Decision
OZUWHYD,James Martinez,29,Young,Female,Employed,Hyderabad,Engineer,Referral,13-05-2025,Interviewed,,,,14,Await Decision
P8INNYC,David Drew Anderson,31,Middle Aged,Male,Employed,New York,Engineer,Campus,23-05-2025,Offered,11-06-2025,15 Days,,,Follow up
CJ4KLON,Ava Scott Garcia,31,Middle Aged,Female,Employed,London,Engineer,Referral,20-05-2025,Offered,31-05-2025,30 Days,,,Follow up
WIU9HYD,Diana Jane Rodriguez,33,Middle Aged,Female,Employed,Hyderabad,Analyst,Campus,23-05-2025,Accepted,02-06-2025,30 Days,,,Send reminder
YD4NSGP,Frank Grace Jackson,31,Middle Aged,Non-Binary,Unemployed,Singapore,Engineer,Internal,06-05-2025,Joined,22-05-2025,Immediately,02-06-2025,,No Action
HGUSNYC,Heidi Sue Taylor,39,Middle Aged,Male,Employed,New York,Manager,Referral,12-05-2025,Offered,26-05-2025,Immediately,,12,Follow up
Q40VNYC,Michael Beth Brown,26,Young,Female,Unemployed,New York,Manager,Job Portal,02-05-2025,Interviewed,,,,,Await Decision
YBPCNYC,Frank Lee Harris,36,Middle Aged,Male,Employed,New York,Analyst,Campus,19-05-2025,Interviewed,,,,,Await Decision
DDBVHYD,David Sue Brown,35,Middle Aged,Female,Employed,Hyderabad,Engineer,Internal,15-05-2025,Joined,04-06-2025,30 Days,18-06-2025,,No Action
FGE7NYC,Judy Elizabeth Clark,44,Aging,Female,Employed,New York,Analyst,Campus,11-05-2025,Accepted,22-05-2025,Immediately,,,Send reminder
D0NFNYC,David Lee Garcia,41,Aging,Male,Employed,New York,Manager,Internal,30-04-2025,Accepted,10-05-2025,Immediately,,13,Send reminder
QMOESGP,William Dean Anderson,23,Young,Female,Unemployed,Singapore,Analyst,Campus,27-04-2025,Offered,09-05-2025,Immediately,,,Follow up
Z2DILON,Sophia Scott Martin,24,Young,Female,Employed,London,Designer,Campus,17-05-2025,Accepted,30-05-2025,30 Days,,,Send reminder
C31YNYC,David Beth Clark,25,Young,Male,Student,New York,Designer,Referral,06-05-2025,Joined,26-05-2025,15 Days,07-06-2025,,No Action
4VI8HYD,Eve Drew Robinson,40,Middle Aged,Female,Employed,Hyderabad,Engineer,Internal,23-05-2025,Interviewed,,,,,Await Decision
QU0MHYD,Heidi Rose Brown,45,Aging,Female,Employed,Hyderabad,Engineer,Internal,21-05-2025,Accepted,03-06-2025,15 Days,,,Send reminder
TTI8SGP,William Jackson,43,Aging,Female,Employed,Singapore,Designer,Job Portal,27-04-2025,Offered,14-05-2025,30 Days,,10,Follow up
EKTLSGP,Sarah Louise Rodriguez,42,Aging,Female,Unemployed,Singapore,Manager,Campus,15-05-2025,Offered,02-06-2025,15 Days,,,Follow up
GBQ0SGP,Daniel Lynn Williams,45,Aging,Male,Employed,Singapore,Manager,Internal,12-05-2025,Joined,28-05-2025,Immediately,10-06-2025,13,No Action
UDTRNYC,James William Jones,44,Aging,Male,Unemployed,New York,Manager,Campus,16-05-2025,Offered,30-05-2025,30 Days,,,Follow up
8BZYNYC,Ivan Scott Robinson,36,Middle Aged,Male,Employed,New York,Manager,Job Portal,03-05-2025,Interviewed,,,,7,Await Decision
TFJCSGP,Judy Lynn Williams,44,Aging,Male,Unemployed,Singapore,Engineer,Campus,15-05-2025,Interviewed,,,,,Await Decision
I6H6NYC,David Scott Rodriguez,45,Aging,Male,Unemployed,New York,Manager,Campus,12-05-2025,Accepted,26-05-2025,15 Days,,,Send reminder
806MHYD,Sarah Ann Miller,32,Middle Aged,Male,Employed,Hyderabad,Manager,Referral,30-04-2025,Accepted,10-05-2025,15 Days,,,Send reminder
N26INYC,Frank Lynn Robinson,26,Young,Female,Unemployed,New York,Designer,Campus,21-05-2025,Joined,04-06-2025,Immediately,14-06-2025,14,No Action
624QLON,Grace Ray Taylor,24,Young,Non-Binary,Employed,London,Engineer,Campus,07-05-2025,Interviewed,,,,,Await Decision
0WWXNYC,William Grace Anderson,39,Middle Aged,Female,Employed,New York,Designer,Job Portal,04-05-2025,Joined,15-05-2025,15 Days,28-05-2025,,No Action
92EDSGP,Michael Ann Thompson,34,Middle Aged,Male,Employed,Singapore,Analyst,Referral,06-05-2025,Accepted,19-05-2025,30 Days,,7,Send reminder
8046SGP,David Dean Harris,32,Middle Aged,Male,Employed,Singapore,Analyst,Campus,27-04-2025,Joined,16-05-2025,Immediately,23-05-2025,,No Action
1GQRHYD,Olivia Louise Wilson,30,Middle Aged,Female,Employed,Hyderabad,Engineer,Job Portal,13-05-2025,Accepted,27-05-2025,15 Days,,,Send reminder
HROUHYD,Ava Lynn Anderson,33,Middle Aged,Non-Binary,Employed,Hyderabad,Analyst,Job Portal,25-04-2025,Offered,15-05-2025,Immediately,,,Follow up
9ZIPLON,Charlie Dean Moore,40,Middle Aged,Female,Employed,London,Analyst,Referral,18-05-2025,Offered,28-05-2025,30 Days,,,Follow up
F4LNSGP,Eve Dean Martin,28,Young,Male,Employed,Singapore,Designer,Referral,15-05-2025,Joined,31-05-2025,Immediately,14-06-2025,,No Action
M593NYC,Sophia Drew Harris,38,Middle Aged,Female,Employed,New York,Analyst,Campus,13-05-2025,Offered,01-06-2025,30 Days,,,Follow up
2H8WLON,Ava Marie Robinson,26,Young,Male,Employed,London,Designer,Job Portal,23-05-2025,Accepted,12-06-2025,30 Days,,,Send reminder
MP8OHYD,Sarah Thomas Martinez,25,Young,Male,Student,Hyderabad,Manager,Internal,29-04-2025,Joined,19-05-2025,30 Days,26-05-2025,,No Action
AMTGHYD,Michael Drew Miller,40,Middle Aged,Female,Employed,Hyderabad,Analyst,Campus,10-05-2025,Accepted,22-05-2025,15 Days,,,Send reminder
U5YLSGP,William Mae Taylor,32,Middle Aged,Male,Unemployed,Singapore,Engineer,Job Portal,17-05-2025,Offered,30-05-2025,15 Days,,,Follow up
9H9FSGP,Alice Sue Miller,28,Young,Non-Binary,Employed,Singapore,Designer,Job Portal,12-05-2025,Interviewed,,,,,Await Decision
2VWUHYD,David Mae Williams,34,Middle Aged,Male,Employed,Hyderabad,Designer,Referral,18-05-2025,Interviewed,,,,8,Await Decision
VB6EHYD,Olivia Jane Clark,44,Aging,Male,Employed,Hyderabad,Analyst,Internal,22-05-2025,Accepted,10-06-2025,30 Days,,13,Send reminder
Q19BNYC,Eve Dean Moore,23,Young,Male,Employed,New York,Manager,Internal,24-04-2025,Accepted,10-05-2025,Immediately,,,Send reminder
3Z6ALON,Daniel Lee Martin,37,Middle Aged,Female,Unemployed,London,Designer,Job Portal,20-05-2025,Accepted,02-06-2025,30 Days,,,Send reminder
6TS0LON,Bob Jane Williams,39,Middle Aged,Female,Unemployed,London,Designer,Internal,23-05-2025,Interviewed,,,,,Await Decision
6ENANYC,Bob Jane Garcia,25,Young,Female,Employed,New York,Engineer,Campus,10-05-2025,Accepted,26-05-2025,15 Days,,,Send reminder
94A2HYD,Frank Grace Martinez,37,Middle Aged,Non-Binary,Employed,Hyderabad,Engineer,Internal,16-05-2025,Interviewed,,,,,Await Decision
3HXRNYC,David Lee White,40,Middle Aged,Male,Employed,New York,Analyst,Internal,28-04-2025,Offered,08-05-2025,30 Days,,9,Follow up
LHZWHYD,David Thomas Brown,31,Middle Aged,Female,Employed,Hyderabad,Engineer,Referral,07-05-2025,Joined,20-05-2025,15 Days,28-05-2025,7,No Action
G5AYNYC,David William Williams,38,Middle Aged,Female,Employed,New York,Designer,Referral,18-05-2025,Joined,02-06-2025,15 Days,15-06-2025,,No Action
3BN7HYD,James Louise Williams,23,Young,Male,Unemployed,Hyderabad,Analyst,Job Portal,24-04-2025,Offered,11-05-2025,15 Days,,,Follow up
HW1ONYC,Michael Rose Brown,30,Middle Aged,Female,Unemployed,New York,Manager,Internal,21-05-2025,Interviewed,,,,12,Await Decision
RGVELON,Olivia Jane Harris,38,Middle Aged,Male,Employed,London,Analyst,Campus,09-05-2025,Offered,22-05-2025,15 Days,,,Follow up
0YCNHYD,Sarah Dean Jones,26,Young,Female,Employed,Hyderabad,Designer,Internal,20-05-2025,Accepted,02-06-2025,30 Days,,,Send reminder
ZGA7SGP,Eve Drew Harris,44,Aging,Non-Binary,Employed,Singapore,Designer,Internal,29-04-2025,Accepted,13-05-2025,Immediately,,,Send reminder
MT28HYD,Judy Lynn Miller,26,Young,Non-Binary,Employed,Hyderabad,Analyst,Internal,02-05-2025,Joined,17-05-2025,15 Days,26-05-2025,,No Action
DK7MSGP,Emily Jane Garcia,34,Middle Aged,Male,Unemployed,Singapore,Analyst,Internal,16-05-2025,Joined,30-05-2025,15 Days,06-06-2025,11,No Action
27FOLON,Diana Ray Williams,41,Aging,Male,Unemployed,London,Designer,Job Portal,25-04-2025,Offered,08-05-2025,30 Days,,,Follow up
JM3BSGP,William Ray Garcia,43,Aging,Male,Employed,Singapore,Designer,Referral,17-05-2025,Offered,01-06-2025,Immediately,,,Follow up
BMW5NYC,Sophia Rose White,32,Middle Aged,Male,Unemployed,New York,Manager,Job Portal,04-05-2025,Joined,20-05-2025,30 Days,01-06-2025,,No Action
WZLSNYC,Ivan Elizabeth Brown,32,Middle Aged,Male,Employed,New York,Engineer,Referral,01-05-2025,Accepted,12-05-2025,Immediately,,9,Send reminder
1PM6LON,Michael Scott Rodriguez,44,Aging,Female,Employed,London,Analyst,Job Portal,18-05-2025,Accepted,03-06-2025,15 Days,,15,Send reminder
Z6I1LON,Michael Sue Brown,44,Aging,Female,Unemployed,London,Engineer,Campus,07-05-2025,Accepted,22-05-2025,Immediately,,,Send reminder
3A6KNYC,Judy Rose Garcia,27,Young,Male,Employed,New York,Designer,Job Portal,17-05-2025,Interviewed,,,,8,Await Decision
GWQJSGP,Eve Drew Anderson,38,Middle Aged,Male,Unemployed,Singapore,Manager,Internal,25-04-2025,Joined,05-05-2025,Immediately,16-05-2025,,No Action
EI53SGP,Ivan Louise Moore,23,Young,Male,Employed,Singapore,Designer,Campus,14-05-2025,Accepted,29-05-2025,15 Days,,,Send reminder
KVLSSGP,Ivan Drew Moore,45,Aging,Female,Unemployed,Singapore,Manager,Job Portal,07-05-2025,Accepted,18-05-2025,15 Days,,,Send reminder
1O9YNYC,William Sue Moore,45,Aging,Male,Employed,New York,Manager,Campus,26-04-2025,Offered,07-05-2025,Immediately,,12,Follow up
SGUHSGP,Grace Ann Robinson,42,Aging,Male,Unemployed,Singapore,Analyst,Referral,27-04-2025,Joined,13-05-2025,15 Days,22-05-2025,14,No Action
V2EFNYC,Frank Anderson,22,Young,Female,Unemployed,New York,Manager,Job Portal,27-04-2025,Joined,14-05-2025,Immediately,29-05-2025,,No Action
0P25LON,David Ann Williams,34,Middle Aged,Male,Unemployed,London,Designer,Internal,07-05-2025,Interviewed,,,,,Await Decision
80XANYC,Sophia Jane White,37,Middle Aged,Male,Unemployed,New York,Engineer,Internal,18-05-2025,Joined,31-05-2025,15 Days,08-06-2025,,No Action
NAZFLON,Eve Mae Davis,25,Young,Non-Binary,Unemployed,London,Manager,Referral,12-05-2025,Interviewed,,,,13,Await Decision
2O86NYC,Alice Sue Anderson,33,Middle Aged,Female,Employed,New York,Designer,Job Portal,17-05-2025,Accepted,02-06-2025,30 Days,,,Send reminder
CUUVLON,Frank Beth Thompson,36,Middle Aged,Male,Employed,London,Engineer,Campus,01-05-2025,Accepted,17-05-2025,15 Days,,,Send reminder
5V8GNYC,Judy Drew Wilson,43,Aging,Male,Unemployed,New York,Analyst,Campus,25-04-2025,Joined,14-05-2025,Immediately,26-05-2025,,No Action
KYDGLON,James Thompson,45,Aging,Female,Employed,London,Manager,Referral,23-05-2025,Joined,04-06-2025,Immediately,18-06-2025,,No Action
5I1KNYC,Sarah Thompson,41,Aging,Male,Employed,New York,Engineer,Campus,24-04-2025,Offered,13-05-2025,Immediately,,,Follow up
TM6HHYD,Bob Davis,40,Middle Aged,Female,Employed,Hyderabad,Designer,Campus,05-05-2025,Accepted,25-05-2025,30 Days,,12,Send reminder
D3XDLON,Bob Mae Martin,26,Young,Female,Employed,London,Engineer,Campus,15-05-2025,Accepted,31-05-2025,30 Days,,,Send reminder
DF4LNYC,David Jane Williams,33,Middle Aged,Female,Employed,New York,Analyst,Referral,15-05-2025,Joined,30-05-2025,30 Days,12-06-2025,9,No Action
UX3TSGP,David Marie Miller,37,Middle Aged,Male,Employed,Singapore,Engineer,Job Portal,04-05-2025,Interviewed,,,,,Await Decision
RGAGSGP,Olivia Louise Martinez,38,Middle Aged,Female,Employed,Singapore,Designer,Campus,20-05-2025,Offered,02-06-2025,Immediately,,,Follow up
OW58HYD,Daniel Thomas Jones,41,Aging,Male,Employed,Hyderabad,Engineer,Internal,13-05-2025,Offered,31-05-2025,Immediately,,,Follow up
0YFKSGP,William Dean Moore,42,Aging,Male,Unemployed,Singapore,Manager,Referral,12-05-2025,Accepted,30-05-2025,Immediately,,7,Send reminder
F8DLHYD,Daniel Lynn Wilson,39,Middle Aged,Male,Unemployed,Hyderabad,Engineer,Job Portal,20-05-2025,Offered,04-06-2025,Immediately,,,Follow up
EC4DSGP,William William Garcia,26,Young,Female,Employed,Singapore,Analyst,Campus,24-04-2025,Joined,14-05-2025,Immediately,26-05-2025,,No Action
AK6YNYC,Bob Jane Robinson,26,Young,Non-Binary,Student,New York,Designer,Referral,22-05-2025,Offered,02-06-2025,15 Days,,14,Follow up
XCWJSGP,Bob Rose Harris,37,Middle Aged,Female,Employed,Singapore,Designer,Job Portal,15-05-2025,Joined,30-05-2025,30 Days,08-06-2025,,No Action
KWUJHYD,Michael Scott Martinez,45,Aging,Non-Binary,Employed,Hyderabad,Designer,Job Portal,02-05-2025,Offered,14-05-2025,15 Days,,,Follow up
28RBSGP,Daniel Louise Martinez,43,Aging,Female,Employed,Singapore,Manager,Job Portal,06-05-2025,Offered,25-05-2025,Immediately,,,Follow up
644NHYD,Charlie Victoria Rodriguez,24,Young,Male,Employed,Hyderabad,Manager,Internal,30-04-2025,Offered,15-05-2025,Immediately,,,Follow up
HDLCLON,Emily Louise Williams,25,Young,Male,Employed,London,Designer,Internal,12-05-2025,Joined,25-05-2025,30 Days,01-06-2025,,No Action
V68VHYD,Ava Victoria White,23,Young,Female,Unemployed,Hyderabad,Designer,Internal,16-05-2025,Accepted,30-05-2025,30 Days,,,Send reminder
DARSLON,Judy Sue Harris,27,Young,Female,Unemployed,London,Designer,Internal,18-05-2025,Accepted,29-05-2025,30 Days,,,Send reminder
ZXJYLON,Frank Thomas Rodriguez,37,Middle Aged,Female,Employed,London,Manager,Campus,13-05-2025,Joined,02-06-2025,30 Days,16-06-2025,,No Action
EP5VNYC,Judy Victoria Jackson,41,Aging,Male,Unemployed,New York,Engineer,Campus,15-05-2025,Accepted,26-05-2025,15 Days,,,Send reminder
SIQPLON,Daniel Lee Thompson,29,Young,Male,Employed,London,Analyst,Campus,21-05-2025,Accepted,03-06-2025,Immediately,,,Send reminder
U8G6LON,Eve Lynn Jackson,28,Young,Male,Employed,London,Analyst,Job Portal,17-05-2025,Accepted,05-06-2025,Immediately,,,Send reminder
YP8LLON,Sophia Sue Smith,30,Middle Aged,Male,Unemployed,London,Designer,Internal,10-05-2025,Offered,23-05-2025,30 Days,,,Follow up
2RSUNYC,David Mae Rodriguez,26,Young,Male,Employed,New York,Manager,Internal,01-05-2025,Offered,15-05-2025,Immediately,,,Follow up
6FRULON,Judy Victoria Miller,26,Young,Male,Employed,London,Analyst,Campus,20-05-2025,Offered,05-06-2025,Immediately,,14,Follow up
8AWUSGP,Charlie Beth Thompson,34,Middle Aged,Male,Employed,Singapore,Analyst,Job Portal,09-05-2025,Interviewed,,,,,Await Decision
X7PPLON,Ava Mae Taylor,42,Aging,Female,Employed,London,Analyst,Campus,27-04-2025,Accepted,14-05-2025,30 Days,,9,Send reminder
4VGBLON,Heidi Marie Taylor,29,Young,Male,Unemployed,London,Analyst,Referral,30-04-2025,Offered,11-05-2025,15 Days,,,Follow up
UZTVSGP,Ivan Scott Miller,24,Young,Male,Employed,Singapore,Manager,Referral,07-05-2025,Interviewed,,,,,Await Decision
DZ1THYD,Ivan William Robinson,33,Middle Aged,Female,Employed,Hyderabad,Analyst,Job Portal,28-04-2025,Interviewed,,,,,Await Decision
WI28HYD,Bob Ray Miller,29,Young,Female,Unemployed,Hyderabad,Designer,Internal,24-04-2025,Offered,10-05-2025,15 Days,,11,Follow up
FH2RNYC,Sarah Sue Garcia,26,Young,Male,Unemployed,New York,Engineer,Referral,18-05-2025,Offered,28-05-2025,30 Days,,15,Follow up
H6DVSGP,Frank Mae Garcia,25,Young,Non-Binary,Student,Singapore,Analyst,Internal,18-05-2025,Joined,28-05-2025,15 Days,11-06-2025,,No Action
GPPQSGP,Bob Jane Davis,37,Middle Aged,Non-Binary,Employed,Singapore,Engineer,Internal,06-05-2025,Offered,21-05-2025,30 Days,,,Follow up
N13KNYC,James Elizabeth Thompson,38,Middle Aged,Female,Unemployed,New York,Engineer,Campus,01-05-2025,Joined,17-05-2025,Immediately,26-05-2025,,No Action
EDAESGP,Grace Lynn Clark,26,Young,Male,Employed,Singapore,Designer,Job Portal,22-05-2025,Accepted,11-06-2025,15 Days,,,Send reminder
VPX8LON,Grace Louise Harris,45,Aging,Male,Unemployed,London,Manager,Job Portal,25-04-2025,Accepted,14-05-2025,Immediately,,,Send reminder
8BNZNYC,Grace Mae Taylor,29,Young,Female,Unemployed,New York,Analyst,Campus,08-05-2025,Accepted,28-05-2025,30 Days,,,Send reminder
OFI1SGP,Frank Jackson,41,Aging,Female,Employed,Singapore,Analyst,Job Portal,06-05-2025,Joined,19-05-2025,30 Days,30-05-2025,,No Action
N7ZHHYD,Emily Elizabeth Davis,28,Young,Male,Employed,Hyderabad,Designer,Campus,17-05-2025,Joined,29-05-2025,15 Days,13-06-2025,,No Action
WN19LON,Sarah Grace Martinez,41,Aging,Male,Employed,London,Engineer,Campus,01-05-2025,Accepted,15-05-2025,15 Days,,,Send reminder
C8PGNYC,James Victoria Harris,31,Middle Aged,Male,Employed,New York,Designer,Internal,16-05-2025,Accepted,26-05-2025,Immediately,,,Send reminder
2MFRHYD,Judy Drew Garcia,38,Middle Aged,Male,Unemployed,Hyderabad,Analyst,Referral,13-05-2025,Interviewed,,,,,Await Decision
HFPTNYC,Ivan Mae Thompson,26,Young,Male,Student,New York,Analyst,Campus,13-05-2025,Offered,26-05-2025,30 Days,,10,Follow up
9N4OLON,Daniel Rose Rodriguez,33,Middle Aged,Female,Unemployed,London,Manager,Job Portal,23-05-2025,Offered,05-06-2025,15 Days,,12,Follow up
MANQSGP,Ava Scott Moore,41,Aging,Female,Unemployed,Singapore,Designer,Campus,13-05-2025,Accepted,26-05-2025,30 Days,,,Send reminder
9MY0LON,Grace Ann Martin,43,Aging,Male,Employed,London,Designer,Internal,12-05-2025,Offered,27-05-2025,15 Days,,,Follow up
5IYYLON,James Marie Miller,45,Aging,Female,Unemployed,London,Analyst,Campus,01-05-2025,Offered,11-05-2025,30 Days,,,Follow up
30YPLON,Ava Jane Harris,25,Young,Female,Employed,London,Analyst,Referral,01-05-2025,Interviewed,,,,,Await Decision
6GMWLON,Grace Jane White,28,Young,Female,Employed,London,Analyst,Internal,16-05-2025,Offered,26-05-2025,Immediately,,,Follow up
F477NYC,Bob Scott Clark,32,Middle Aged,Male,Employed,New York,Manager,Referral,04-05-2025,Accepted,24-05-2025,Immediately,,,Send reminder
VWGKHYD,Michael Drew Robinson,39,Middle Aged,Female,Employed,Hyderabad,Manager,Referral,04-05-2025,Joined,15-05-2025,Immediately,25-05-2025,,No Action
5W4FLON,Ava Scott Moore,40,Middle Aged,Female,Unemployed,London,Analyst,Job Portal,16-05-2025,Joined,03-06-2025,30 Days,15-06-2025,,No Action
UD0CHYD,James Rose Robinson,37,Middle Aged,Male,Employed,Hyderabad,Analyst,Job Portal,22-05-2025,Offered,06-06-2025,Immediately,,15,Follow up
AERRSGP,Frank Drew Williams,34,Middle Aged,Male,Unemployed,Singapore,Designer,Internal,05-05-2025,Interviewed,,,,,Await Decision
0R42HYD,Sarah Rose Taylor,22,Young,Female,Unemployed,Hyderabad,Designer,Referral,28-04-2025,Offered,16-05-2025,15 Days,,,Follow up
MJVBNYC,Sophia Jane Martin,40,Middle Aged,Female,Employed,New York,Engineer,Job Portal,15-05-2025,Offered,29-05-2025,Immediately,,,Follow up
S83INYC,Ava Lee Davis,30,Middle Aged,Male,Unemployed,New York,Manager,Job Portal,11-05-2025,Accepted,27-05-2025,Immediately,,,Send reminder
CFJIHYD,James Thomas Wilson,38,Middle Aged,Male,Unemployed,Hyderabad,Engineer,Internal,05-05-2025,Interviewed,,,,9,Await Decision
VJLULON,Eve Beth Clark,25,Young,Male,Employed,London,Manager,Campus,01-05-2025,Interviewed,,,,,Await Decision
ZNNRNYC,Ivan Rose Thompson,35,Middle Aged,Male,Unemployed,New York,Manager,Job Portal,09-05-2025,Interviewed,,,,,Await Decision
SKOEHYD,Alice Jane Jones,34,Middle Aged,Male,Employed,Hyderabad,Manager,Campus,05-05-2025,Joined,21-05-2025,30 Days,05-06-2025,,No Action
K3XJSGP,Judy Drew Smith,40,Middle Aged,Female,Unemployed,Singapore,Designer,Job Portal,29-04-2025,Accepted,13-05-2025,Immediately,,,Send reminder
YUN7SGP,Charlie Grace Martinez,39,Middle Aged,Female,Unemployed,Singapore,Designer,Internal,29-04-2025,Offered,11-05-2025,Immediately,,13,Follow up
GW02NYC,Ava Drew Williams,23,Young,Male,Employed,New York,Designer,Referral,22-05-2025,Offered,10-06-2025,15 Days,,,Follow up
FRITNYC,Sophia Ray Rodriguez,33,Middle Aged,Female,Employed,New York,Manager,Referral,05-05-2025,Interviewed,,,,,Await Decision
AF6CSGP,Bob Rose Wilson,30,Middle Aged,Non-Binary,Unemployed,Singapore,Manager,Campus,05-05-2025,Joined,19-05-2025,30 Days,28-05-2025,,No Action
XCZXLON,Olivia Jane Davis,37,Middle Aged,Male,Unemployed,London,Engineer,Referral,05-05-2025,Accepted,25-05-2025,Immediately,,13,Send reminder
WGCLLON,Ivan Marie Miller,40,Middle Aged,Female,Employed,London,Designer,Referral,22-05-2025,Interviewed,,,,,Await Decision
ATFHNYC,Emily Scott Williams,32,Middle Aged,Male,Employed,New York,Engineer,Internal,16-05-2025,Offered,26-05-2025,15 Days,,,Follow up
0JXAHYD,Heidi William Robinson,37,Middle Aged,Male,Employed,Hyderabad,Manager,Referral,10-05-2025,Accepted,22-05-2025,30 Days,,12,Send reminder
Z66OLON,Diana Jane Williams,35,Middle Aged,Female,Unemployed,London,Designer,Referral,19-05-2025,Joined,05-06-2025,Immediately,18-06-2025,,No Action
262YLON,Emily Jane Martinez,44,Aging,Female,Unemployed,London,Designer,Job Portal,15-05-2025,Accepted,30-05-2025,Immediately,,,Send reminder
DA87NYC,Emily Louise Miller,22,Young,Female,Unemployed,New York,Engineer,Referral,15-05-2025,Offered,03-06-2025,15 Days,,,Follow up
I5R1SGP,Sophia Jane Clark,44,Aging,Female,Employed,Singapore,Manager,Campus,22-05-2025,Accepted,04-06-2025,30 Days,,,Send reminder
LAHSLON,Olivia Dean Taylor,40,Middle Aged,Female,Employed,London,Designer,Referral,25-04-2025,Joined,07-05-2025,30 Days,20-05-2025,,No Action
PO1FSGP,William Beth Jackson,40,Middle Aged,Male,Unemployed,Singapore,Analyst,Referral,01-05-2025,Offered,17-05-2025,30 Days,,,Follow up
GI6TLON,Sophia Mae Jones,42,Aging,Female,Employed,London,Analyst,Job Portal,21-05-2025,Accepted,04-06-2025,30 Days,,,Send reminder
AMQYLON,Sophia Ray Miller,33,Middle Aged,Female,Unemployed,London,Engineer,Campus,08-05-2025,Joined,20-05-2025,15 Days,01-06-2025,,No Action
DO7DNYC,Alice Scott Moore,34,Middle Aged,Male,Employed,New York,Analyst,Internal,04-05-2025,Interviewed,,,,,Await Decision
7GVRSGP,Heidi Jane Harris,24,Young,Male,Employed,Singapore,Engineer,Campus,25-04-2025,Interviewed,,,,,Await Decision
TMNWHYD,Alice Elizabeth Moore,33,Middle Aged,Male,Unemployed,Hyderabad,Designer,Job Portal,20-05-2025,Interviewed,,,,13,Await Decision
81FMNYC,Charlie Lynn Martin,29,Young,Male,Employed,New York,Analyst,Referral,22-05-2025,Interviewed,,,,,Await Decision
IX4FLON,Heidi Rose Williams,37,Middle Aged,Male,Unemployed,London,Analyst,Referral,22-05-2025,Accepted,09-06-2025,30 Days,,9,Send reminder
DLPBLON,Judy Mae Clark,45,Aging,Female,Employed,London,Engineer,Referral,21-05-2025,Interviewed,,,,,Await Decision
BL3BNYC,Ava Grace Harris,34,Middle Aged,Female,Unemployed,New York,Designer,Job Portal,17-05-2025,Accepted,27-05-2025,30 Days,,7,Send reminder
UH75NYC,Olivia Marie Garcia,23,Young,Female,Employed,New York,Engineer,Job Portal,28-04-2025,Accepted,13-05-2025,30 Days,,,Send reminder
A6S9NYC,Daniel Lee Davis,32,Middle Aged,Female,Unemployed,New York,Analyst,Referral,18-05-2025,Offered,04-06-2025,30 Days,,12,Follow up
9YIJNYC,Heidi Sue Taylor,37,Middle Aged,Female,Unemployed,New York,Manager,Referral,02-05-2025,Interviewed,,,,,Await Decision
WY8LNYC,Sophia Grace Wilson,33,Middle Aged,Female,Employed,New York,Engineer,Referral,13-05-2025,Joined,28-05-2025,30 Days,10-06-2025,11,No Action
0IB0LON,Ivan Thomas Martinez,42,Aging,Female,Unemployed,London,Analyst,Job Portal,03-05-2025,Interviewed,,,,9,Await Decision
